district,listing_id,price,rooms,bedrooms,area_sqm,price_per_sqm,district_number,housing_type
Lyon 1,1288945829,640000,4,3,124.0,5161.290322580645,1,T4+
Lyon 1,1287333558,179000,2,1,31.0,5774.193548387097,1,T2
Lyon 1,1288943166,359000,3,1,75.0,4786.666666666667,1,T3
Lyon 1,1289820295,199000,1,1,32.0,6218.75,1,Studio/T1
Lyon 1,1290193862,419000,3,2,68.0,6161.764705882353,1,T3
Lyon 1,1290183266,199000,1,1,39.0,5102.5641025641025,1,Studio/T1
Lyon 1,1289927196,399000,3,2,61.0,6540.983606557377,1,T3
Lyon 1,1289905443,299000,3,1,84.0,3559.5238095238096,1,T3
Lyon 1,1289828218,532000,4,3,90.0,5911.111111111111,1,T4+
Lyon 1,1289694276,315000,2,1,49.0,6428.571428571428,1,T2
Lyon 1,1289618483,119000,1,1,23.0,5173.913043478261,1,Studio/T1
Lyon 1,1289082278,310000,3,2,58.0,5344.827586206897,1,T3
Lyon 1,1290142288,440000,3,2,110.0,4000.0,1,T3
Lyon 1,1287702925,299000,2,1,53.0,5641.509433962264,1,T2
Lyon 1,1288749490,285000,2,1,49.0,5816.326530612245,1,T2
Lyon 1,1286858275,205000,2,1,40.0,5125.0,1,T2
Lyon 1,1288909436,520000,3,2,85.0,6117.64705882353,1,T3
Lyon 1,1287060678,258000,3,1,65.0,3969.230769230769,1,T3
Lyon 1,1286600210,1580000,7,4,339.0,4660.766961651917,1,T4+
Lyon 1,1288749731,145000,1,1,24.0,6041.666666666667,1,Studio/T1
Lyon 1,1287539609,334000,3,2,82.0,4073.170731707317,1,T3
Lyon 1,1290049790,1295000,6,5,261.0,4961.685823754789,1,T4+
Lyon 1,1287847809,309000,3,2,74.0,4175.675675675676,1,T3
Lyon 1,1288970677,139000,1,1,25.0,5560.0,1,Studio/T1
Lyon 1,1289231327,245000,1,1,45.0,5444.444444444444,1,Studio/T1
Lyon 1,1286851082,559000,3,1,110.0,5081.818181818182,1,T3
Lyon 1,1289998041,265000,1,1,47.0,5638.297872340426,1,Studio/T1
Lyon 1,1289998001,339000,3,2,74.0,4581.081081081081,1,T3
Lyon 1,1289973067,173500,1,1,28.0,6196.428571428572,1,Studio/T1
Lyon 1,1289972429,470000,4,3,175.0,2685.714285714286,1,T4+
Lyon 1,1289967761,238000,2,1,56.0,4250.0,1,T2
Lyon 1,1286327803,245000,2,1,43.0,5697.674418604651,1,T2
Lyon 1,1289952986,455000,4,3,87.0,5229.885057471264,1,T4+
Lyon 1,1290134626,645000,4,2,120.0,5375.0,1,T4+
Lyon 1,1289907815,185000,1,1,23.0,8043.478260869565,1,Studio/T1
Lyon 1,1288804593,345000,2,1,75.0,4600.0,1,T2
Lyon 1,1289863237,550000,5,3,109.0,5045.871559633028,1,T4+
Lyon 1,1289856287,450000,3,2,82.0,5487.804878048781,1,T3
Lyon 1,1289805116,485000,4,3,94.0,5159.574468085107,1,T4+
Lyon 1,1289785518,275000,2,1,55.0,5000.0,1,T2
