search_city,listing_id,price,listing_rooms,listing_bedrooms,area_sqm
Lyon 1,1288945829,640 000 €,4,3,124
Lyon 1,1287333558,179 000 €,2,1,31
Lyon 1,1288943166,359 000 €,3,1,75
Lyon 1,1289820295,199 000 €,1,1,32
Lyon 1,1290193862,419 000 €,3,2,68
Lyon 1,1290183266,199 000 €,1,,39
Lyon 1,1289927196,399 000 €,3,2,61
Lyon 1,1289905443,299 000 €,3,1,84
Lyon 1,1289828218,532 000 €,4,3,90
Lyon 1,1289694276,315 000 €,2,1,49
Lyon 1,1289618483,119 000 €,1,,23
Lyon 1,1289082278,310 000 €,3,2,58
Lyon 1,1290142288,440 000 €,3,2,110
Lyon 1,1287702925,299 000 €,2,1,53
Lyon 1,1288749490,285 000 €,2,1,49
Lyon 1,1286858275,205 000 €,2,1,40
Lyon 1,1288909436,520 000 €,3,2,85
Lyon 1,1287060678,258 000 €,3,1,65
Lyon 1,1286600210,1 580 000 €,7,4,339
Lyon 1,1288749731,145 000 €,1,,24
Lyon 1,1287539609,334 000 €,3,2,82
Lyon 1,1290049790,1 295 000 €,6,5,261
Lyon 1,1287847809,309 000 €,3,2,74
Lyon 1,1288970677,139 000 €,1,,25
Lyon 1,1289231327,245 000 €,1,1,45
Lyon 1,1286851082,559 000 €,3,1,110
Lyon 1,1289998041,265 000 €,1,,47
Lyon 1,1289998001,339 000 €,3,2,74
Lyon 1,1289973067,173 500 €,1,,28
Lyon 1,1289972429,470 000 €,4,3,175
Lyon 1,1289967761,238 000 € *,2,,56
Lyon 1,1286327803,245 000 €,2,1,43
Lyon 1,1289952986,455 000 €,4,3,87
Lyon 1,1290134626,645 000 €,4,2,120
Lyon 1,1289907815,185 000 €,1,1,23
Lyon 1,1288804593,345 000 €,2,1,75
Lyon 1,1289863237,550 000 €,5,3,109
Lyon 1,1289856287,450 000 €,3,2,82
Lyon 1,1289805116,485 000 € *,4,3,94
Lyon 1,1289785518,275 000 €,2,1,55
Lyon 1,1288588238,645 000 €,3,2,120
Lyon 1,1289767302,415 000 €,3,2,62
Lyon 1,1288910521,388 000 €,4,3,87
Lyon 1,1289706206,394 000 €,2,1,69
Lyon 1,1289705615,340 000 €,3,2,73
Lyon 1,1289691431,695 000 €,5,3,120
Lyon 1,1290049785,645 000 €,3,2,120
Lyon 1,1288819740,260 000 €,3,2,47
Lyon 1,1287977959,199 000 €,2,1,46
Lyon 1,1288207222,377 000 €,2,1,60
Lyon 1,1289665397,229 000 € *,3,2,59
Lyon 1,1289599337,455 000 €,4,3,87
Lyon 1,1289577766,529 000 €,5,4,128
Lyon 1,1289577765,379 000 €,3,2,72
Lyon 1,1286947055,460 000 €,4,3,114
Lyon 1,1288010480,205 000 €,2,1,41
Lyon 1,1288937824,179 000 €,2,1,36
Lyon 1,1289524501,299 000 €,2,2,72
Lyon 1,1289524500,319 000 €,2,2,70
Lyon 1,1288978063,642 000 €,5,3,165
Lyon 1,1288794063,225 000 €,2,1,48
Lyon 1,1286614139,339 000 €,2,1,
Lyon 1,1289060061,299 000 €,3,2,
Lyon 1,1288209714,595 000 €,5,3,150
Lyon 1,1289251033,240 000 €,2,1,48
Lyon 1,1287967211,290 000 €,2,1,44
Lyon 1,1285877731,255 000 €,3,2,57
Lyon 1,1287911624,522 500 €,4,3,102
Lyon 1,1289086131,600 000 €,4,3,88
Lyon 1,1290157703,374 000 €,3,1,72
Lyon 1,1289001238,185 000 €,1,,25
Lyon 1,1287781191,449 000 €,3,2,67
Lyon 1,1285193221,199 000 €,2,1,37
Lyon 1,1286600421,258 000 €,3,2,54
Lyon 1,1288752649,149 000 €,1,1,41
Lyon 1,1285988236,350 000 €,3,2,65
Lyon 1,1286828097,419 000 €,3,1,81
Lyon 1,1287190501,283 500 €,3,2,67
Lyon 1,1262929094,478 000 €,3,2,75
Lyon 1,1286600207,599 000 €,3,2,104
Lyon 2,1290196063,415 000 €,3,2,80
Lyon 2,1290195945,269 000 €,3,2,64
Lyon 2,1289524354,850 000 €,4,3,134
Lyon 2,1290161621,1 990 000 €,7,4,280
Lyon 2,1289634696,160 000 € *,2,1,27
Lyon 2,1289160251,598 000 €,4,3,139
Lyon 2,1287847884,245 000 €,2,1,50
Lyon 2,1289965270,522 000 €,5,,110
Lyon 2,1289100027,474 000 €,3,2,77
Lyon 2,1288846366,304 000 €,3,2,65
Lyon 2,1289972826,260 000 €,2,,48
Lyon 2,1288862424,450 000 €,4,2,103
Lyon 2,1289356217,1 190 000 €,5,4,146
Lyon 2,1289525123,315 000 €,1,1,40
Lyon 2,1290141359,790 000 € *,6,4,179
Lyon 2,1288846363,360 000 €,3,2,58
Lyon 2,1288846365,218 000 €,2,,45
Lyon 2,1289967662,225 000 €,2,1,59
Lyon 2,1290161618,765 000 €,4,3,100
Lyon 2,1289905764,1 450 000 €,10,6,294
Lyon 2,1288770062,545 000 €,4,3,81
Lyon 2,1290122819,350 000 €,2,1,58
Lyon 2,1288940642,550 000 €,5,3,108
Lyon 2,1290112265,420 000 €,3,2,77
Lyon 2,1290108118,340 000 €,3,1,84
Lyon 2,1287875888,350 000 €,3,2,81
Lyon 2,1286177999,225 000 €,2,1,60
Lyon 2,1290094654,430 000 €,4,3,102
Lyon 2,1289681645,699 000 € *,5,4,108
Lyon 2,1286793638,376 000 €,3,2,60
Lyon 2,1286793633,503 000 €,4,3,76
Lyon 2,1286793620,476 000 €,4,3,76
Lyon 2,1286793626,419 000 €,3,2,64
Lyon 2,1286793623,490 000 €,4,3,76
Lyon 2,1282066453,411 000 €,3,2,64
Lyon 2,1290090735,252 000 €,2,1,37
Lyon 2,1290079272,590 000 €,4,3,141
Lyon 2,1289374181,191 000 € *,2,1,37
Lyon 2,1290068357,695 000 €,5,4,147
Lyon 2,1290062680,200 000 €,1,,34
Lyon 2,1289915985,280 000 €,2,1,52
